Id	Name	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	DataType	OriginalDataReference	OriginalDataDOI	DatabaseReference	DatabaseDOI
25	ODP138-853B-1H-1	-110.0	7	5.5	0.0	12.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.038	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
26	TT013-PC72	-140.0	0	16.3	5.0	11.465	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.061	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
27	TT013-MC27	-140.0	-3	10.0	2.6	10.5	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.062	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
28	TT013-MC69	-140.0	2	11.438	4.0	11.68	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.063	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
29	TT013-MC97	-140.0	0	5.8	6.37	10.53	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.064	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
30	TT013-MC19	-140.0	-1.8	9.292	4.61	11.02	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.065	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
31	V28-203	-179.42	0.95	11.0	0.25	9.04	Ocean	MAR	Bradtmiller et al., 2007	10.1029/2007PA001443	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
32	V21-146	163.0	38	13.5	0.0	12.0	Ocean	MAR + Size	Hovan et al., 1991	10.1029/91PA00559	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
33	SO-14-08-05	118.38	-16.35	11.0	2.68	11.7	Ocean	MAR	"Hesse and McTainsh, 2003; Fitzsimmons et
al., 2013"	10.1016/S0277-3791(03)00164-1	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
34	E26.1	168.33	-40.28	9.25	4.47	10.58	Ocean	MAR + Size	Hesse, 1994; Fitzsimmons et al., 2013	10.1016/0277-3791(94)90029-9	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
35	Zagoskin_Lake	-162.1	63	181.667	5.59	9.03	Lake	MAR + Size	Muhs et al., 2003b	10.1016/S0033-5894(03)00062?0	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
36	Chitina	-144.38	61.54	483.729	1.227	10.786	Terrestrial	MAR + Size	Muhs et al., 2013		S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
37	Duowa	102.63	35.65	323.75	2.49	10.19	Terrestrial	MAR	Roberts et al., 2001	10.1191/095968301678302913	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
38	Jiuzhoutai	103.75	36.07	638.333	1.94	10.51	Terrestrial	MAR + Size	Kohfeld and Harrison, 2003	10.1016/S0277?3791(03)00166?5	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
39	Jingyuan	104.6	36.35	47.5	2.475	9.27	Terrestrial	MAR + Size	Sun et al., 2012	10.1038/NGEO1326	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
40	Beiguoyuan	107.28	36.62	178.333	3.62	7.38	Terrestrial	MAR + Size	Stevens and Lu, 2009	10.1111/j.1365-3091.2008.01004.x	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
41	Xifeng	107.72	35.53	93.333	0.29	5.26	Terrestrial	MAR + Size	Stevens and Lu, 2009	10.1111/j.1365-3091.2008.01004.x	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
42	Luochuan	109.42	35.75	141.429	1.69	11.71	Terrestrial	MAR	Lu et al., 2013	10.1130/G34488.1	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
43	Weinan	109.58	34.43	37.5	1.75	8.5	Terrestrial	MAR + Size	Kang et al., 2013		S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
44	OWR	-101.42000000000002	40.5	230.5	0.0	8.425	Terrestrial	MAR + Size	Miao et al., 2007	10.1016/j.palaeo.2006.09.004	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
45	LRC	-100.19	41.48	115.4	0.0	6.735	Terrestrial	MAR + Size	Miao et al., 2007	10.1016/j.palaeo.2006.09.005	S. Albani et al. (2015), Twelve thousand years of dust: the Holocene global dust cycle constrained by natural archives	10.5194/cp-11-869-2015
46	-	6	64.93	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
47	-	5.96	64.86	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
48	-	5.91	64.9	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
49	-	6.93	64.99	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
50	-	8.95	64.96	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
51	-	10.03	64.74	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
52	-	10.14	64.87	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
53	-	11.18	64.95	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
54	-	12.28	64.74	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
55	-	14.01	64.76	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
56	-	14.62	64.81	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
57	-	14.53	64.46	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
58	-	15.05	64.86	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
59	-	16.72	64.95	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
60	-	17.94	65	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
61	-	17.73	64.51	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
62	-	18.33	65.46	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
63	-	16.11	68.21	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
64	-	15.64	67.94	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
65	-	15.44	67.2	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
66	-	14.69	64.62	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
67	-	15.89	62.19	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
68	-	16.22	60.33	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
69	-	16.22	60.07	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
70	-	16.17	59.83	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
71	-	17.49	59.76	0	0	0	Iron from dust sample	Iron	Johansen and Hoffmann, (2003)	10.1029/2002JD003280	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
72	-	16.26	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
73	-	18	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
74	-	18.04	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
75	-	18.09	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
76	-	18.11	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
77	-	18.13	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
78	-	18.13	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
79	-	18.13	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
80	-	18.12	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
81	-	18.09	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
82	-	16.85	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
83	-	14.29	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
84	-	11.5	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
85	-	10	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
86	-	10.02	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
87	-	10.03	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
88	-	9.98	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
89	-	1.51	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
90	-	3.06	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
91	-	6.04	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
92	-	10	65	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
93	-	14.48	64.7	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
94	-	15.24	63.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
95	-	16.08	62	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
96	-	16.68	60.7	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
97	-	17.13	59.8	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
98	-	17.63	58.7	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
99	-	18.4	57.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
100	-	18.56	57.2	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
101	-	18.41	57.3	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
102	-	17.96	58.5	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
103	-	17.43	59.6	0	0	0	Iron from dust sample	Iron	Siefert et al 1999 JGR	10.1029/1998JD100067	R. Wang et al. (2015), Sources, transport and deposition of iron in the global atmosphere	10.5194/acp-15-6247-2015
