Id	Name	Longitude	Latitude	Depth	RecentDate	OldestDate	Archive	DataType	Reference	DOI
17	PS2498-1	-14.819999999999993	-44.25	32.477	2.5	11.85	Ocean	MAR	Anderson et al., 2014	10.1098/rsta.2013.005410.1029/2002JD0032954
18	RC27-42	59.8	16.5	25.4	5.0	11.6	Ocean	MAR	Pourmand et al., 2007	10.1029/2007PA00150210.1029/2002JD0032964
19	93KL	64.22	23.58	41.667	1.6	11.83	Ocean	MAR	Pourmand et al., 2004	10.1016/S0012?821X(04)00109?810.1029/2002JD0032974
20	ODP138-848B-1H-1	-111.0	-3	11.0	0.0	12.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.03310.1029/2002JD0032983
21	ODP138-849A-1H-1	-111.0	0	16.0	0.0	10.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.03410.1029/2002JD0032991
22	ODP138-850A-1H-1	-111.0	1	11.0	0.0	10.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.03510.1029/2002JD0033003
23	ODP138-851E-1H-1	-111.0	3	11.0	0.0	10.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.03610.1029/2002JD0033013
24	ODP138-852A-1H-1	-110.0	5	8.5	0.0	12.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.03710.1029/2002JD0033023
25	ODP138-853B-1H-1	-110.0	7	5.5	0.0	12.0	Ocean	MAR	McGee et al., 2007	10.1016/j.epsl.2007.02.03810.1029/2002JD0033032
26	TT013-PC72	-140.0	0	16.3	5.0	11.465	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.06110.1029/2002JD0033042
27	TT013-MC27	-140.0	-3	10.0	2.6	10.5	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.06210.1029/2002JD0033052
28	TT013-MC69	-140.0	2	11.438	4.0	11.68	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.06310.1029/1998JD1000672
29	TT013-MC97	-140.0	0	5.8	6.37	10.53	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.06410.1029/1998JD1000682
30	TT013-MC19	-140.0	-1.8	9.292	4.61	11.02	Ocean	MAR	Anderson et al., 2006	10.1016/j.epsl.2005.11.06510.1029/1998JD1000692
31	V28-203	-179.42	0.95	11.0	0.25	9.04	Ocean	MAR	Bradtmiller et al., 2007	10.1029/2007PA00144310.1029/1998JD1000702
32	V21-146	163.0	38	13.5	0.0	12.0	Ocean	MAR + Size	Hovan et al., 1991	10.1029/91PA0055910.1029/1998JD1000712
33	SO-14-08-05	118.38	-16.35	11.0	2.68	11.7	Ocean	MAR	"Hesse and McTainsh, 2003; Fitzsimmons et
al., 2013"	10.1016/S0277-3791(03)00164-110.1029/1998JD1000722
34	E26.1	168.33	-40.28	9.25	4.47	10.58	Ocean	MAR + Size	Hesse, 1994; Fitzsimmons et al., 2013	10.1016/0277-3791(94)90029-910.1029/1998JD100073
35	Zagoskin_Lake	-162.1	63	181.667	5.59	9.03	Lake	MAR + Size	Muhs et al., 2003b	10.1016/S0033-5894(03)00062?010.1029/1998JD100074
36	Chitina	-144.38	61.54	483.729	1.227	10.786	Terrestrial	MAR + Size	Muhs et al., 2013	10.1029/1998JD100075
37	Duowa	102.63	35.65	323.75	2.49	10.19	Terrestrial	MAR	Roberts et al., 2001	10.1191/09596830167830291310.1029/1998JD100076
