"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
1.6	52	3.54	8.22	4	6	5	NA	NA	1.6	65.3	0.05	NA	NA	NA	NA	NA	0.796	0.15
2.8	48.1	3.27	7.61	11	13	12	NA	NA	2.8	65.9	0.05	NA	NA	NA	NA	NA	0.73	0.15
4.3	56.5	3.84	8.93	21	23	22	NA	NA	4.3	72.4	0.05	NA	NA	NA	NA	NA	0.78	0.15
5.8	48.2	3.28	7.62	31	33	32	NA	NA	5.8	68.6	0.05	NA	NA	NA	NA	NA	0.703	0.15
7.3	37.4	2.54	5.91	41	43	42	NA	NA	7.3	56.7	0.05	NA	NA	NA	NA	NA	0.66	0.15
9.4	37.4	2.54	5.91	55	57	56	NA	NA	9.4	52.1	0.05	NA	NA	NA	NA	NA	0.718	0.15
11	56.6	3.85	8.95	65	67	66	NA	NA	11	80.1	0.05	NA	NA	NA	NA	NA	0.707	0.15
11.16	67.2	4.57	10.63	67	69	68	NA	NA	11.16	100.6	0.05	NA	NA	NA	NA	NA	0.668	0.15
11.83	66.9	4.55	10.58	71	73	72	NA	NA	11.83	99.3	0.05	NA	NA	NA	NA	NA	0.674	0.15
