"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
2.34	2.7	0.23	0.19	2.5	3.5	3	NA	NA	2.34	12.9	0.05	NA	NA	NA	NA	0.21	NA	0.05
3.12	2.5	0.31	0.18	3.5	4.5	4	NA	NA	3.12	11.8	0.05	NA	NA	NA	NA	0.21	NA	0.05
4.29	2.3	0.43	0.16	5	6	5.5	NA	NA	4.29	11.1	0.05	NA	NA	NA	NA	0.21	NA	0.05
5.85	2.4	0.59	0.17	7	8	7.5	NA	NA	5.85	11	0.05	NA	NA	NA	NA	0.22	NA	0.05
7.03	2.2	0.7	0.16	8.5	9.5	9	NA	NA	7.03	11.4	0.05	NA	NA	NA	NA	0.19	NA	0.05
8.2	1.9	0.82	0.13	10	11	10.5	NA	NA	8.2	10	0.05	NA	NA	NA	NA	0.19	NA	0.05
9.37	2.5	0.94	0.18	11	13	12	NA	NA	9.37	10.8	0.05	NA	NA	NA	NA	0.23	NA	0.05
10.93	2.7	1.09	0.19	13.5	14.5	14	NA	NA	10.93	11	0.05	NA	NA	NA	NA	0.25	NA	0.05
