"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
9.02	0.00601	0.092	0.0012	147360	147640	147500	9.003	9.031	9.017	0.229	0.01	NA	NA	NA	NA	NA	0.026	0.2
9.05	0.00796	0.092	0.00159	147640	147941	147791	9.031	9.06	9.046	0.23	0.01	NA	NA	NA	NA	NA	0.035	0.2
9.07	0.0085	0.092	0.0017	147941	148234	148088	9.06	9.089	9.075	0.23	0.01	NA	NA	NA	NA	NA	0.037	0.2
9.1	0.00697	0.092	0.0014	148234	148552	148393	9.089	9.118	9.104	0.23	0.01	NA	NA	NA	NA	NA	0.03	0.2
9.13	0.005	0.093	0.001	148552	148820	148686	9.118	9.147	9.132	0.229	0.01	NA	NA	NA	NA	NA	0.022	0.2
9.16	0.0057	0.093	0.00114	148820	149121	148971	9.147	9.176	9.161	0.227	0.01	NA	NA	NA	NA	NA	0.025	0.2
9.19	0.00539	0.093	0.00108	149121	149394	149258	9.176	9.204	9.19	0.224	0.01	NA	NA	NA	NA	NA	0.024	0.2
9.22	0.00665	0.094	0.00133	149394	149646	149520	9.204	9.233	9.219	0.221	0.01	NA	NA	NA	NA	NA	0.03	0.2
9.25	0.00602	0.094	0.00121	149646	149940	149793	9.233	9.262	9.248	0.218	0.01	NA	NA	NA	NA	NA	0.028	0.2
9.28	0.00532	0.095	0.00107	149940	150213	150077	9.262	9.291	9.276	0.216	0.01	NA	NA	NA	NA	NA	0.025	0.2
9.31	0.00587	0.094	0.00118	150213	150480	150347	9.291	9.32	9.305	0.215	0.01	NA	NA	NA	NA	NA	0.027	0.2
9.33	0.0055	0.095	0.0011	150480	150760	150620	9.32	9.348	9.334	0.215	0.01	NA	NA	NA	NA	NA	0.026	0.2
9.36	0.00456	0.095	0.00091	150760	151017	150889	9.348	9.377	9.363	0.214	0.01	NA	NA	NA	NA	NA	0.021	0.2
9.39	0.00748	0.096	0.0015	151018	151300	151159	9.377	9.406	9.392	0.213	0.01	NA	NA	NA	NA	NA	0.035	0.2
9.42	0.00537	0.096	0.00108	151300	151560	151430	9.406	9.435	9.42	0.212	0.01	NA	NA	NA	NA	NA	0.025	0.2
9.45	0.00647	0.096	0.0013	151560	151840	151700	9.435	9.464	9.449	0.211	0.01	NA	NA	NA	NA	NA	0.031	0.2
9.48	0.00559	0.096	0.00112	151840	152098	151969	9.464	9.492	9.478	0.208	0.01	NA	NA	NA	NA	NA	0.027	0.2
9.51	0.00713	0.097	0.00143	152098	152335	152217	9.492	9.521	9.507	0.206	0.01	NA	NA	NA	NA	NA	0.035	0.2
9.54	0.01157	0.097	0.00232	152335	152591	152463	9.521	9.55	9.536	0.204	0.01	NA	NA	NA	NA	NA	0.057	0.2
9.56	0.00602	0.097	0.00121	152591	152844	152718	9.55	9.579	9.564	0.202	0.01	NA	NA	NA	NA	NA	0.03	0.2
9.59	0.00713	0.098	0.00143	152844	153096	152970	9.579	9.608	9.593	0.201	0.01	NA	NA	NA	NA	NA	0.036	0.2
9.62	0.00724	0.098	0.00145	153096	153346	153221	9.608	9.636	9.622	0.2	0.01	NA	NA	NA	NA	NA	0.036	0.2
9.65	0.00661	0.098	0.00132	153346	153595	153471	9.636	9.665	9.651	0.199	0.01	NA	NA	NA	NA	NA	0.033	0.2
9.68	0.00565	0.098	0.00113	153595	153823	153709	9.665	9.694	9.68	0.199	0.01	NA	NA	NA	NA	NA	0.028	0.2
9.71	0.00574	0.098	0.00115	153823	154088	153956	9.694	9.723	9.709	0.199	0.01	NA	NA	NA	NA	NA	0.029	0.2
9.74	0.00656	0.099	0.00131	154088	154331	154210	9.723	9.752	9.737	0.199	0.01	NA	NA	NA	NA	NA	0.033	0.2
9.77	0.00733	0.099	0.00147	154331	154574	154453	9.752	9.781	9.766	0.2	0.01	NA	NA	NA	NA	NA	0.037	0.2
9.79	0.00576	0.1	0.00115	154574	154814	154694	9.781	9.809	9.795	0.201	0.01	NA	NA	NA	NA	NA	0.029	0.2
9.82	0.00586	0.1	0.00117	154814	155072	154943	9.809	9.838	9.824	0.202	0.01	NA	NA	NA	NA	NA	0.029	0.2
9.85	0.00547	0.1	0.00109	155072	155346	155209	9.838	9.867	9.853	0.204	0.01	NA	NA	NA	NA	NA	0.027	0.2
9.88	0.00649	0.101	0.0013	155346	155582	155464	9.867	9.896	9.881	0.205	0.01	NA	NA	NA	NA	NA	0.032	0.2
9.91	0.00666	0.101	0.00133	155582	155834	155708	9.896	9.925	9.91	0.205	0.01	NA	NA	NA	NA	NA	0.032	0.2
9.94	0.0065	0.101	0.0013	155834	156066	155950	9.925	9.953	9.939	0.206	0.01	NA	NA	NA	NA	NA	0.032	0.2
9.97	0.00569	0.101	0.00114	156066	156333	156200	9.953	9.982	9.968	0.207	0.01	NA	NA	NA	NA	NA	0.027	0.2
10	0.00699	0.102	0.0014	156333	156580	156457	9.982	10.011	9.997	0.207	0.01	NA	NA	NA	NA	NA	0.034	0.2
10.03	0.00603	0.102	0.00121	156580	156825	156703	10.011	10.04	10.025	0.206	0.01	NA	NA	NA	NA	NA	0.029	0.2
10.05	0.00705	0.102	0.00141	156825	157068	156947	10.04	10.069	10.054	0.204	0.01	NA	NA	NA	NA	NA	0.035	0.2
10.08	0.00666	0.102	0.00133	157051	157310	157181	10.069	10.097	10.083	0.202	0.01	NA	NA	NA	NA	NA	0.033	0.2
10.11	0.00605	0.103	0.00121	157327	157533	157430	10.097	10.126	10.112	0.2	0.01	NA	NA	NA	NA	NA	0.03	0.2
10.14	0.00708	0.103	0.00142	157533	157754	157644	10.126	10.155	10.141	0.197	0.01	NA	NA	NA	NA	NA	0.036	0.2
10.17	0.00732	0.103	0.00147	157754	157958	157856	10.155	10.184	10.169	0.196	0.01	NA	NA	NA	NA	NA	0.037	0.2
10.2	0.00664	0.103	0.00133	157975	158193	158084	10.184	10.213	10.198	0.195	0.01	NA	NA	NA	NA	NA	0.034	0.2
10.23	0.00739	0.104	0.00148	158193	158427	158310	10.213	10.242	10.227	0.195	0.01	NA	NA	NA	NA	NA	0.038	0.2
10.26	0.00751	0.104	0.0015	158427	158659	158543	10.242	10.27	10.256	0.196	0.01	NA	NA	NA	NA	NA	0.038	0.2
10.28	0.0093	0.105	0.00186	158659	158906	158783	10.27	10.299	10.285	0.196	0.01	NA	NA	NA	NA	NA	0.047	0.2
10.31	0.00646	0.105	0.00129	158906	159119	159013	10.299	10.328	10.314	0.195	0.01	NA	NA	NA	NA	NA	0.033	0.2
