"Age (ka BP)"	"Dust MAR (g/m2/a)"	"Age error (ka)"	"DMAR error (g/m2/a)"	"Depth top (cm)"	"Depth bottom (cm)"	"Depth center (cm)"	"Age top (ka BP)"	"Age bottom (ka BP)"	"Age center (ka BP)"	"SBMAR (g/m2/a)"	"SBMAR rel err"	"SDBD (g/cm3)"	"SDBD rel err"	"SR (cm/ka)"	"SR rel err"	"EC (fraction)"	"EC (ppm)"	"EC rel err"
1.92	21.6	0.2	5.17	0	1	0.5	NA	NA	1.919	42.704	0.186	NA	NA	NA	NA	0.51	NA	0.15
2.35	16.4	0.2	3.41	5	6	5.5	NA	NA	2.348	35.951	0.144	NA	NA	NA	NA	0.46	NA	0.15
3.28	14.58	0.36	3	10	11	10.5	NA	NA	3.28	33.853	0.141	NA	NA	NA	NA	0.43	NA	0.15
4.23	13.61	0.3	2.76	15	16	15.5	NA	NA	4.23	33.477	0.136	NA	NA	NA	NA	0.41	NA	0.15
4.97	11	0.18	2.08	20	21	20.5	NA	NA	4.97	28.532	0.115	NA	NA	NA	NA	0.39	NA	0.15
5.26	10.93	0.2	2.18	22	23	22.5	NA	NA	5.26	30.659	0.131	NA	NA	NA	NA	0.36	NA	0.15
5.69	7.5	0.13	1.45	25	26	25.5	NA	NA	5.689	28.319	0.122	NA	NA	NA	NA	0.26	NA	0.15
5.89	4	0.14	0.68	27	28	27.5	NA	NA	5.889	20.133	0.082	NA	NA	NA	NA	0.2	NA	0.15
6.3	3.67	0.24	0.65	30	31	30.5	NA	NA	6.3	19.636	0.093	NA	NA	NA	NA	0.19	NA	0.15
7.01	3.98	0.26	0.88	35	36	35.5	NA	NA	7.009	20.167	0.164	NA	NA	NA	NA	0.2	NA	0.15
7.66	4.31	0.07	0.72	40	41	40.5	NA	NA	7.657	19.085	0.073	NA	NA	NA	NA	0.23	NA	0.15
7.98	4.57	0.16	0.74	45	46	45.5	NA	NA	7.982	18.711	0.063	NA	NA	NA	NA	0.24	NA	0.15
8.33	5.93	0.18	0.98	50	51	50.5	NA	NA	8.325	20.239	0.071	NA	NA	NA	NA	0.29	NA	0.15
8.67	5.23	0.18	0.86	55	56	55.5	NA	NA	8.669	19.072	0.065	NA	NA	NA	NA	0.27	NA	0.15
9	8.22	0.13	1.48	60	61	60.5	NA	NA	9.004	24.778	0.099	NA	NA	NA	NA	0.33	NA	0.15
9.55	8.41	0.27	1.58	65	66	65.5	NA	NA	9.551	25.102	0.114	NA	NA	NA	NA	0.34	NA	0.15
10.36	9.62	0.37	1.92	70	71	70.5	NA	NA	10.357	28.857	0.131	NA	NA	NA	NA	0.33	NA	0.15
11.17	9.17	0.35	1.71	75	76	75.5	NA	NA	11.166	26.206	0.111	NA	NA	NA	NA	0.35	NA	0.15
11.95	17.34	0.18	3.94	80	81	80.5	NA	NA	11.953	39.654	0.171	NA	NA	NA	NA	0.44	NA	0.15
